Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,157,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,157,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,157,gold,0.2,166.62,120,19994.4,3
"Jul 01, 2020",One-off,157,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,158,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,158,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,158,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,158,gold,0.15,166.62,90,14995.8,3
"Jul 01, 2020",One-off,158,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,159,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,159,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,159,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,159,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,159,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,160,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,160,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,160,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,160,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,160,cash,0.15,1,15000,15000,3
"Jul 01, 2020",One-off,161,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,161,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,161,sbonds,0.0,261.9,0,0.0,3
